Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,4807,Adrian Peterson,MIN,RB,3,LAC,14,25,7500,20.3
2,12386,Marshawn Lynch,SEA,RB,3,CHI,27,16,7400,18.4
3,4807,Adrian Peterson,MIN,RB,4,DEN,1,19,7800,17.6
4,15138,Eddie Lacy,GB,RB,4,SF,29,28,6900,17.4
5,14967,Le'Veon Bell,PIT,RB,3,LAR,12,29,7500,16.1
6,15085,Joseph Randle,DAL,RB,4,NO,30,13,5500,15.6
6,5820,Frank Gore,IND,RB,4,JAX,28,26,4700,15.6
8,2699,Matt Forte,CHI,RB,3,SEA,23,3,7300,14.8
9,2699,Matt Forte,CHI,RB,4,OAK,31,20,7100,14.7
10,14967,Le'Veon Bell,PIT,RB,4,BAL,27,5,7700,14.4
10,7969,Jamaal Charles,KC,RB,4,CIN,9,18,7600,14.4
12,16112,Jeremy Hill,CIN,RB,4,KC,32,3,6500,14
12,7969,Jamaal Charles,KC,RB,3,GB,14,19,7400,14
14,9369,Justin Forsett,BAL,RB,3,CIN,5,26,6000,12.7
15,15071,Latavius Murray,OAK,RB,3,CLE,17,28,5800,12.3
15,16524,Devonta Freeman,ATL,RB,3,DAL,3,10,4600,12.3
17,12296,LeGarrette Blount,NE,RB,3,JAX,9,6,4000,11.9
17,15071,Latavius Murray,OAK,RB,4,CHI,24,12,6300,11.9
19,11932,LeSean McCoy,BUF,RB,3,MIA,10,9,6100,11.8
20,5451,Jonathan Stewart,CAR,RB,3,NO,26,22,4900,11.6
21,16815,Ameer Abdullah,DET,RB,3,DEN,1,12,4500,11.4
22,15020,CJ Anderson,DEN,RB,3,DET,29,29,6200,11.3
22,9369,Justin Forsett,BAL,RB,4,PIT,15,2,6000,11.3
24,16524,Devonta Freeman,ATL,RB,4,HOU,14,9,5200,11.2
24,14916,Giovani Bernard,CIN,RB,4,KC,32,3,5000,11.2
26,16797,TJ Yeldon,JAX,RB,3,NE,29,23,4400,11.1
27,13791,Lamar Miller,MIA,RB,3,BUF,31,8,5200,11
27,12708,Dion Lewis,NE,RB,3,JAX,9,6,4200,11
29,12317,Danny Woodhead,LAC,RB,3,MIN,8,18,4400,10.6
30,5820,Frank Gore,IND,RB,3,TEN,7,12,4500,10.5
30,16668,Carlos Hyde,SF,RB,3,ARI,16,20,5400,10.5
30,15138,Eddie Lacy,GB,RB,3,KC,24,1,7200,10.5
33,16915,Karlos Williams,BUF,RB,4,NYG,25,23,3400,10.4
33,13791,Lamar Miller,MIA,RB,4,NYJ,2,7,4700,10.4
35,13337,Mark Ingram,NO,RB,4,DAL,11,26,6000,10.3
35,16797,TJ Yeldon,JAX,RB,4,IND,23,25,4400,10.3
37,16776,Melvin Gordon,LAC,RB,3,MIN,8,18,5000,10
38,14916,Giovani Bernard,CIN,RB,3,BAL,18,11,4700,9.9
39,12780,Shane Vereen,NYG,RB,3,WAS,3,1,4300,9.8
40,16668,Carlos Hyde,SF,RB,4,GB,16,22,5100,9.6
41,16776,Melvin Gordon,LAC,RB,4,CLE,22,30,4900,9.5
41,16815,Ameer Abdullah,DET,RB,4,SEA,3,2,4100,9.5
41,6198,Darren Sproles,PHI,RB,4,WAS,6,2,4500,9.5
44,11792,Arian Foster,HOU,RB,4,ATL,17,32,7000,9.4
45,14385,Doug Martin,TB,RB,3,HOU,21,14,5100,9.3
45,5451,Jonathan Stewart,CAR,RB,4,TB,18,29,4700,9.3
47,15085,Joseph Randle,DAL,RB,3,ATL,19,32,5100,9
47,16112,Jeremy Hill,CIN,RB,3,BAL,18,11,7300,9
49,12800,Bilal Powell,NYJ,RB,3,PHI,15,13,3000,8.9
49,10949,CJ Spiller,NO,RB,3,CAR,4,7,4800,8.9
51,16127,Isaiah Crowell,CLE,RB,3,OAK,32,31,4500,8.8
51,15020,CJ Anderson,DEN,RB,4,MIN,8,13,5900,8.8
53,16626,Tre Mason,LAR,RB,3,PIT,30,5,4300,8.7
54,6198,Darren Sproles,PHI,RB,3,NYJ,2,1,3800,8.6
55,6828,Chris Johnson,ARI,RB,3,SF,22,20,4000,8.5
55,16847,David Johnson,ARI,RB,3,SF,22,20,4000,8.5
55,12317,Danny Woodhead,LAC,RB,4,CLE,22,30,4600,8.5
58,13337,Mark Ingram,NO,RB,3,CAR,4,7,5900,8.4
59,14731,Lance Dunbar,DAL,RB,4,NO,30,13,3600,8.3
60,16838,Duke Johnson,CLE,RB,3,OAK,32,31,3400,8.2
60,14385,Doug Martin,TB,RB,4,CAR,3,14,4400,8.2
62,13124,DeMarco Murray,PHI,RB,4,WAS,6,2,6500,7.9
62,12800,Bilal Powell,NYJ,RB,4,MIA,20,16,3700,7.9
64,12239,Chris Ivory,NYJ,RB,3,PHI,15,13,5000,7.8
64,12239,Chris Ivory,NYJ,RB,4,MIA,20,16,4800,7.8
64,12780,Shane Vereen,NYG,RB,4,BUF,27,6,4300,7.8
67,13735,Chris Polk,HOU,RB,3,TB,20,27,3400,7.7
67,15126,Theo Riddick,DET,RB,4,SEA,3,2,3000,7.7
69,16178,Bishop Sankey,TEN,RB,3,IND,13,19,4600,7.6
69,11256,Ryan Mathews,PHI,RB,4,WAS,6,2,3800,7.6
69,15207,Benjamin Cunningham,LAR,RB,3,PIT,30,5,4000,7.6
72,16127,Isaiah Crowell,CLE,RB,4,LAC,10,31,4100,7.5
72,10949,CJ Spiller,NO,RB,4,DAL,11,26,3900,7.5
74,6828,Chris Johnson,ARI,RB,4,LAR,7,27,4500,7.4
75,16838,Duke Johnson,CLE,RB,4,LAC,10,31,3100,7.2
75,16609,Charles Sims,TB,RB,3,HOU,21,14,3400,7.2
